"bZIP29_1";"bZIP29_2";"bZIP29_3";"WT_1";"WT_2";"WT_3"
"287";10.8472894646092;8.46023714584703;10.8315771929811;9.44927024095472;NA;11.579898478923
"290";47.7498772411942;38.5466426171728;NA;54.2796148500297;50.45412269435;37.0657885810068
"292";39.9005823522307;33.5906457092506;28.3384287025669;34.2536046234609;NA;27.002907370065
"294";46.8232243723582;53.164330466802;42.7595401978731;54.7628161691694;NA;41.9202438385466
"298";156.222771887286;132.109856969765;119.651143410838;148.235426904977;NA;96.8868361817314
"300";14.553900939953;19.2232607337589;18.3255172276599;11.0599413047538;10.4697290176023;21.1371072672044
"301";16.5162246621939;NA;13.1616257751922;18.3616501273097;17.0008456904875;NA
"302";21.6400699369339;NA;NA;17.7710707372501;NA;17.3445640972515
"303";106.12900797786;108.230962777049;99.1215261729783;113.659688068757;111.577397816161;106.545179454545
"305";11.5013973720228;18.522412686174;18.3255172276599;16.2677777443709;13.0123774933057;13.4508864427665
"307";91.6841250224755;84.8526743326077;98.9326033149612;84.0233404948531;NA;110.236588139966
"308";41.5903611130492;36.544219624073;NA;41.233179233257;41.230789988367;NA
"309";102.694941463938;94.6645469987972;113.920483384319;95.6201721542066;90.4385163710977;114.079698552185
"310";608.756425832941;606.383742885474;510.469562362238;NA;716.927158443431;498.239038047286
"311";23.8749386205971;22.9778038458212;26.0083801203558;21.9051264676678;22.7342687239363;25.8904280402121
"313";195.741791293525;186.475641232427;183.82194085065;215.02458701718;NA;198.375291409672
"314";65.1382457799395;NA;56.613883119128;62.708793417245;61.2229868267409;62.6022459253567
"315";102.204360533378;76.7929217853807;79.0327289371587;108.2370954873;105.893830635177;77.064477213444
"317";35.2128090157665;NA;NA;NA;NA;31.5539591740086
"318";63.5574850036899;64.0775357791964;54.3468088229227;NA;70.5958870901181;57.7477906678169
"321";14.4448829553841;12.3649619823918;14.2951629232948;19.0596075882894;13.9596386901364;13.2991847159683
"322";33.8500842086548;28.8348911006384;28.4014029885726;35.3810743681202;37.5414569059738;31.0988539936142
"323";21.8035969137873;27.9338007537434;28.7162744186011;21.0997909357682;23.4821065109079;NA
"324";26.4913702502516;33.0399793861482;40.3035430436507;22.4420168222675;19.9921968383739;37.6220282459333
"325";68.6268212861455;74.4901353433158;61.9666974296129;65.8764465093832;78.1241208122988;52.4382302298828
"326";37.2841507225763;34.7420389302831;33.3133972970175;NA;35.6469345123125;44.954278374509
"327";44.0977747581348;44.904335620265;47.2307145042781;NA;35.9460696271011;37.9759989417956
"328";10.8472894646092;NA;20.8444886678881;8.42917856721529;9.02390929612386;NA
"329";24.0384655974505;27.283013280986;35.8953430232514;22.4957058577274;18.8455122316841;31.2505557204123
"332";14.3903739630996;13.2660523292868;12.7208057731522;15.8382654606912;15.9538727887273;11.1247932985287
"334";27.0364601730962;22.2769557982363;NA;27.7035422973445;27.0717278883716;23.2103642001121
"337";42.026433051325;37.8958551444154;39.7367744695993;37.636013857439;34.3008264957636;36.8129523696766
"339";59.5238195746393;62.8760819833365;63.1002345777156;64.8563548356438;71.0445897623011;63.3101873170813
"340";14.1178290016773;9.61163036687946;NA;12.1874110494132;14.0593503950659;NA
"341";33.7410662240858;30.4368294951183;28.2124801305555;NA;41.4302133982261;23.5137676537083
"342";49.5486739865816;52.0629978205971;50.6943002345918;55.8902859138288;53.3956179897716;50.6178095083054
"343";30.4160176947333;NA;25.8824315483444;24.3211330633664;NA;19.5189555146912
"345";44.6973736732639;49.3096662050847;37.7215973174168;58.3599815449874;59.6275995478681;35.6499057975577
"346";18.2605124152969;NA;NA;NA;23.9806650355557;14.0071261076929
"349";412.415035624287;487.23957479603;448.062044930585;374.695778475131;395.556333455507;409.746364081717
"350";47.2047873183495;NA;44.4598459200271;45.2061678572948;46.0169518249852;NA
"351";13.4092121019792;14.4675061251467;14.4211114953063;13.2075027231526;14.4083413623193;11.8327346902532
"356";55.2176091841663;62.4755973847165;55.4173716850197;72.9633991900993;69.5987700408227;52.9944698948092
"357";46.7142063877893;44.9543961950925;39.1070316095423;48.9107113040327;51.2518163337863;37.6725954881993
"359";71.2432529158;58.0702667998967;69.0827917482574;58.5747376868273;65.9094369584295;NA
"362";28.1266400187856;22.5773192472012;21.285308669928;31.9986651341421;29.0161061344977;24.1711418031668
"364";24.5290465280107;26.1316200599535;23.6783315381448;26.6834506236051;26.7227369211182;NA
"366";24.2565015665884;18.1719886623815;15.9954686454489;20.8313457584684;NA;21.2888089940026
"367";14.1178290016773;18.2721098120365;17.0660315075458;11.8115878011934;NA;20.4291658754799
"369";65.9013716719221;75.1409228160733;NA;72.4265088354995;70.2468961228647;72.7662616208306
"373";40.5546902596444;22.5773192472012;63.4780802937498;43.9713200417154;24.0803767404852;126.772076360961
"377";32.7053953706809;27.0327104068485;26.8900201244357;27.5424751909646;29.614376364075;NA
"380";107.328205808118;101.172421726372;100.758857609127;95.3517269769067;101.406803913348;NA
"381";24.7470824971486;26.982649832021;24.4340229702132;22.0125045385877;NA;22.0978848702592
"383";29.4893648258973;42.7517309026826;34.0061144430802;30.3343050348831;43.6238709066761;31.0988539936142
"384";84.9250099792015;90.20915583915;74.3096574867309;54.5480600273295;NA;50.061569843379
